Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength,Cement_is_outlier,Blast Furnace Slag_is_outlier,Fly Ash_is_outlier,Water_is_outlier,Superplasticizer_is_outlier,Coarse Aggregate_is_outlier,Fine Aggregate_is_outlier,Age (day)_is_outlier,Water_Cement_Ratio,Total_Binder,Water_Binder_Ratio,Sand_Ratio,has_Superplasticizer,has_FlyAsh,Age_Phase_OHE_0.0,Age_Phase_OHE_1.0,Age_Phase_OHE_2.0,Age_Phase_OHE_3.0,mix_type_freq,Age (day)_log1p,Superplasticizer_log1p,Fly Ash_log1p,Blast Furnace Slag_log1p,Strength_Level
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,0,0,0,0,0,0,0,0,0.29999999999444443,540.0,0.29999999999444443,0.39393939393709826,1,0,False,True,False,False,0.1782312925170068,3.367295829986474,1.252762968495368,0.0,0.0,2
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576,0,0,0,0,0,0,0,0,0.29999999999444443,540.0,0.29999999999444443,0.39052570768116396,1,0,False,True,False,False,0.1782312925170068,3.367295829986474,1.252762968495368,0.0,0.0,2
332.5,142.5,0.0,228.0,0.0,932.0,599.0,129.5,40.26953526,0,0,0,0,0,0,1,1,0.6857142856936627,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,4.966335035199676,1
332.5,142.5,0.0,228.0,0.0,932.0,599.0,129.5,41.05277999,0,0,0,0,0,0,1,1,0.6857142856936627,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,4.966335035199676,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,129.5,44.2960751,0,0,0,0,0,0,0,1,0.9667673715525293,331.0,0.5800604229432006,0.457619601970965,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,4.893352133481524,1
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.02984744,0,0,0,0,0,0,0,0,0.8571428571106336,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,4.74493212836325,1
380.0,95.0,0.0,228.0,0.0,932.0,599.0,129.5,43.6982994,0,0,0,0,0,0,1,1,0.5999999999842105,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,4.564348191467836,1
380.0,95.0,0.0,228.0,0.0,932.0,599.0,28.0,36.44776979,0,0,0,0,0,0,1,0,0.5999999999842105,475.0,0.47999999998989473,0.391247550617954,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,4.564348191467836,1
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85429086,0,0,0,0,0,0,0,0,0.8571428571106336,380.0,0.5999999999842105,0.41822721597741436,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,4.74493212836325,1
475.0,0.0,0.0,228.0,0.0,932.0,599.0,28.0,39.28978986,0,0,0,0,0,0,1,0,0.47999999998989473,475.0,0.47999999998989473,0.391247550617954,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,0.0,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07424367,0,0,0,0,0,0,0,0,0.9667673715525293,331.0,0.5800604229432006,0.457619601970965,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,4.893352133481524,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02168359,0,0,0,0,0,0,0,0,0.9667673715525293,331.0,0.5800604229432006,0.457619601970965,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,4.893352133481524,0
427.5,47.5,0.0,228.0,0.0,932.0,599.0,129.5,43.01296026,0,0,0,0,0,0,1,1,0.5333333333208576,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,3.8815637979434374,1
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,0,0,0,0,0,0,0,0,1.199999999936842,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,5.25227342804663,1
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81378165,0,0,0,0,0,0,0,0,0.749999999975329,380.0,0.5999999999842105,0.41822721597741436,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,4.343805421853684,1
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.90831981,0,0,0,0,0,0,0,0,0.5999999999842105,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,0.0,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.35804798,0,0,0,0,0,0,0,0,1.3753581660905905,349.0,0.5501432664598813,0.4352446194485396,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,5.349010480863555,1
342.0,38.0,0.0,228.0,0.0,932.0,670.0,129.5,56.14196225,0,0,0,0,0,0,0,1,0.6666666666471734,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,3.6635616461296463,2
380.0,95.0,0.0,228.0,0.0,932.0,599.0,90.0,40.56325203,0,0,0,0,0,0,1,0,0.5999999999842105,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,True,False,0.3795918367346939,4.51085950651685,0.0,0.0,4.564348191467836,1
475.0,0.0,0.0,228.0,0.0,932.0,599.0,129.5,42.62064842,0,0,0,0,0,0,1,1,0.47999999998989473,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,0.0,1
427.5,47.5,0.0,228.0,0.0,932.0,599.0,129.5,41.8367142,0,0,0,0,0,0,1,1,0.5333333333208576,475.0,0.47999999998989473,0.391247550617954,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,3.8815637979434374,1
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958,0,0,0,0,0,0,0,0,1.3753581660905905,349.0,0.5501432664598813,0.4352446194485396,0,0,False,True,False,False,0.3795918367346939,3.367295829986474,0.0,0.0,5.349010480863555,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182,0,0,0,0,0,0,0,0,1.3753581660905905,349.0,0.5501432664598813,0.4352446194485396,0,0,True,False,False,False,0.3795918367346939,1.3862943611198906,0.0,0.0,5.349010480863555,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,129.5,44.20782217,0,0,0,0,0,0,0,1,1.3753581660905905,349.0,0.5501432664598813,0.4352446194485396,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,5.349010480863555,1
380.0,0.0,0.0,228.0,0.0,932.0,670.0,129.5,52.51669744,0,0,0,0,0,0,0,1,0.5999999999842105,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,0.0,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,129.5,53.30063166,0,0,0,0,0,0,0,1,0.5999999999842105,380.0,0.5999999999842105,0.41822721597741436,0,0,False,False,False,True,0.3795918367346939,4.871373226762748,0.0,0.0,0.0,2
